m_S,kappa,lambda_S,C,Delta,gamma,Psi,alpha_s,Pi_S,kinetic_VEV
1.6874698294357071,0.4732264722594629,0.41766875308144275,0.250398072016808,1.7679921284088485,17.583302197760045,1413.7881644344893,0.49732264722594627,0.27824174085987563,0.010110200624425908
1.7221423422177253,0.48312302112159083,0.4106555427874887,0.30498295317732815,1.77360692035451,15.88437739998902,1257.9571976521331,0.4983123021121591,0.17990726107025612,0.012467355844338623
1.7162789954903017,0.4741769432362657,0.4154050198082895,0.2657875947512682,1.7715444039587078,18.17129697821332,1137.276611424768,0.4974176943236266,0.19275598483621392,0.009504564722994135
1.7168654792056457,0.48619196553844896,0.415737875730549,0.2868956406766966,1.777898248209224,17.947252872723176,1272.3359455105522,0.4986191965538449,0.2132951072973963,0.009813362463284682
1.691359188178079,0.4983495917867673,0.41526315979670375,0.30058014325869853,1.7886232044878172,15.113217173867628,1277.331910728195,0.4998349591786767,0.33847706419785784,0.014006314544105204
1.7260419146640416,0.4865375074568492,0.4129774140310759,0.28155892610588296,1.7943988933586719,16.20897740951997,1289.1700297363673,0.4986537507456849,0.24064669730971566,0.012255379143113877
1.6839722340581158,0.4879264848700578,0.418853371032559,0.25338283936355405,1.759898753989423,15.082626001567395,942.9438422195219,0.4987926484870058,0.2614811392148422,0.013615119056253221
1.713802856407004,0.4828881698757418,0.41615373639438935,0.2553831422589171,1.7817019379970456,15.787948226592269,1445.7677201309998,0.49828881698757416,0.23734156523362193,0.012735579690002784
1.7378568343871497,0.4768878683607515,0.4011749184900422,0.27685959064343907,1.7787681883810922,16.521124124134943,1342.9341835187597,0.49768878683607515,0.1438698911704277,0.011592030618939552
1.6901419551230397,0.48287738534496316,0.43205372878681647,0.2998744376442736,1.7888765568312375,17.069520403819542,1361.4449408292453,0.4982877385344963,0.3434995071132527,0.010982927258978526
1.6965055340559585,0.4936527294512868,0.41024460297991455,0.27311548034902594,1.790132169889394,17.621978861270875,1047.968967441857,0.49936527294512867,0.3264421585904169,0.010319551969795705
1.7064947704763147,0.4960759677387688,0.408786419105777,0.28386520543576155,1.7710591110266805,15.397048652295636,1312.9396260290987,0.4996075967738769,0.2245259730876059,0.013230953673306291
1.6974478651882572,0.48554871952085454,0.4014349222038074,0.2911202015614334,1.7578937858777006,16.02813415564178,1308.4997722185885,0.4985548719520855,0.2088613073952632,0.0120287174665162
1.6817400485340082,0.49223581382604903,0.4294515782602899,0.28753298735678945,1.766037616287823,16.718923878595426,1154.7508919547004,0.4992235813826049,0.290639271300408,0.011157920393606613
1.7060284446220906,0.4790174863240036,0.4100020378092153,0.27217519689921194,1.779292817166867,17.010533618236618,1202.1969867798186,0.49790174863240033,0.2553498753619361,0.010941049324521841
1.6890654442941084,0.4802942086571627,0.4036046733257076,0.26712109156138464,1.7824295319465422,16.461463205876278,1283.7914560770087,0.4980294208657163,0.3241129612467155,0.0117243254950593
1.7121038864595277,0.47241579355596053,0.41285756162752446,0.28616761948036495,1.7560992564740994,15.107724434927082,1258.897590443497,0.49724157935559604,0.15258488055906527,0.013511389339962106
1.691208636486493,0.49408885768437955,0.4213093001249784,0.2934463174355864,1.7758154356105518,15.245230210962301,1272.9605886749507,0.49940888576843795,0.29333380922619057,0.013568370049656603
1.7282490160752633,0.48060796410556594,0.41352048540251524,0.28360318386749167,1.8004158815434732,15.8964287667109,1172.5327866042583,0.4980607964105566,0.2546526849488462,0.012827633226080609
1.6932512006149565,0.474592011425253,0.4036194492605097,0.27398990932884126,1.7663199780732897,17.76542983239598,1217.347355156773,0.4974592011425253,0.25278663655683475,0.009885242389950893
1.700169077256915,0.48922746539090456,0.4151269073397668,0.2683494110984156,1.780361429954069,15.436131412975463,1335.3784679412968,0.49892274653909047,0.27911193000746826,0.01330268844261125
1.7172027582605451,0.4959627264931174,0.41050545063512267,0.26081185827032605,1.7709530776772457,15.893980780032994,1293.6818313418112,0.4995962726493117,0.18748949035688467,0.01241505768977582
1.6865370352534907,0.48224648596214076,0.42150416591392337,0.25753087447537343,1.78617856364492,16.710117502890096,1461.7247541619718,0.49822464859621407,0.3460266899429949,0.011425908408818733
1.708411899019062,0.47104717412968816,0.4147258802117397,0.2629414225278623,1.7971690840598298,16.416616769211476,1220.144822016811,0.4971047174129688,0.31114549999052965,0.01198424165695981
1.7246071413142365,0.4826245936734056,0.41965187559535994,0.27606716627923056,1.7755682079001986,15.554178605916889,1084.7071576381375,0.49826245936734054,0.17837266903385984,0.013031084390940098
1.6808877514815816,0.4871283780529429,0.4231963446929622,0.2666948674760023,1.7580792751417442,16.04237751773724,1285.1147764162615,0.4987128378052943,0.2654591046021135,0.012009901467400715
1.7077695078779846,0.48997898368440396,0.41770521948242006,0.26927012674991624,1.7620662185019094,16.38493392265874,1465.8660113790575,0.4989978983684404,0.1884006663478046,0.011565250975988149
1.7088982419137264,0.4914298618083829,0.41810242777748124,0.288250879816061,1.7636088711234699,16.15800724345589,1390.417510575943,0.4991429861808383,0.18998304908957442,0.011913214253587991
1.7167273430766596,0.4858232912503095,0.4201014284289052,0.26311840760017147,1.7887077623993861,17.26891926682642,731.5978231940509,0.498582329125031,0.25232268880077147,0.0107287336838222
1.6864457393368288,0.4831464368550578,0.41869712496414335,0.26825491072404994,1.7421149943762964,15.502214676172212,1048.5129584814645,0.49831464368550576,0.1908654219033794,0.012628918017940709
1.6851931508037359,0.4907011459592323,0.40901743480365477,0.2849289198441391,1.7704496869122819,17.178036366380837,1480.007139190941,0.4990701145959232,0.29461613837197387,0.010622338652542824
